Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:41020002


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
41020002;1;01/07/1958;;1;1;359;219;261,484;22;7;1;1;1;;0;227;223;223;223;223;223;219;223;219;219;223;236;236;236;236;249;284;336;332;332;336;359;354;336;310;275;257;249;244;232;232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/08/1958;;1;1;227;162;188,774;1;28;1;1;1;;0;227;219;215;215;215;207;202;202;202;202;202;198;194;194;194;194;190;186;182;178;174;170;170;170;170;166;166;162;162;162;162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/09/1958;;1;1;395;158;242,4;15;3;1;1;1;;0;162;162;158;158;166;174;174;170;170;174;194;190;198;270;395;341;310;336;372;354;310;266;244;232;223;219;215;328;332;275;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/10/1958;;1;1;527;211;324,065;30;5;1;1;1;;0;253;227;223;219;211;211;219;236;359;363;270;288;332;414;395;414;405;382;429;332;319;363;405;382;323;275;253;249;400;527;368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/11/1958;;1;1;684;162;325,267;29;24;1;1;1;;0;488;539;498;448;405;386;377;359;345;319;275;253;227;219;211;207;194;190;182;178;170;166;166;162;215;345;368;504;684;678;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/12/1958;;1;1;1180;207;475,677;15;9;1;1;1;;0;463;386;368;354;310;270;244;219;207;288;377;377;621;776;1180;882;762;724;621;562;510;473;493;521;488;458;434;377;341;328;332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/01/1959;;1;1;1240;377;833,065;25;4;1;1;1;;0;448;400;382;377;410;521;821;591;730;942;1070;1020;996;990;935;1010;902;782;698;634;580;976;1090;1050;1240;1020;1060;1080;1050;1020;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/02/1959;;1;1;935;391;576,643;1;26;1;1;1;;0;935;882;868;862;808;769;730;678;646;580;510;488;550;640;504;468;488;453;453;488;473;443;424;410;400;391;410;395;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/03/1959;;1;1;1820;354;865,032;7;1;1;1;1;;0;354;434;698;1250;1070;990;1820;1500;1320;1130;1050;1060;1030;855;949;915;808;710;665;710;640;556;665;640;568;603;704;776;815;795;736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/04/1959;;1;1;;;;;;0;0;0;;0;736;736;628;556;544;483;453;443;424;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
