Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:41020002


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
41020002;1;01/12/1963;;1;1;494;236;391,484;11;29;1;1;1;;0;394;434;411;428;400;377;400;372;428;476;494;452;458;440;411;440;446;423;428;406;428;350;377;350;299;366;350;299;236;279;284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/01/1964;;1;1;304;136;210,645;4;26;1;1;1;;0;289;284;289;304;236;227;250;236;222;200;191;191;279;260;204;182;196;182;153;218;191;182;186;204;227;136;140;153;204;157;157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/02/1964;;1;1;148;84;128,276;1;9;1;1;1;;0;148;136;136;140;128;128;140;124;84;88;88;140;140;136;100;136;140;140;140;144;140;136;140;136;100;136;136;140;100;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/03/1964;;1;1;144;60;95,355;10;15;1;1;1;;0;100;132;100;100;100;100;100;100;120;144;80;100;100;80;60;60;100;100;100;60;60;80;80;100;100;100;100;100;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/04/1964;;1;1;377;60;149,867;27;1;1;1;1;;0;60;60;84;64;76;88;132;132;128;128;96;112;124;132;124;124;124;136;335;309;191;92;132;116;124;132;377;366;250;148;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/05/1964;;1;1;406;136;226,71;27;1;1;1;1;;0;136;148;157;148;255;377;246;165;196;255;236;227;260;345;196;214;165;178;178;227;377;377;182;222;204;191;406;214;182;182;182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/06/1964;;1;1;434;204;295,267;6;1;1;1;1;;0;204;209;218;284;383;434;319;236;265;246;265;289;319;279;265;284;279;299;324;366;284;304;309;304;335;329;314;324;284;304;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/07/1964;;1;1;377;246;330,613;22;1;1;1;1;;0;246;269;284;304;345;340;260;269;294;340;340;340;350;345;350;350;340;345;340;345;345;377;345;345;350;350;345;356;345;350;345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/08/1964;;1;1;;;;;;0;0;0;;0;340;319;329;350;345;356;345;340;335;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/10/1964;;1;1;1220;488;779,29;23;1;1;1;1;;0;488;506;506;518;506;506;512;518;506;506;506;512;506;506;506;578;698;802;1090;1110;1190;1180;1220;1220;1210;1140;1140;1190;909;930;943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/11/1964;;1;1;1230;560;790,967;6;25;1;1;1;;0;1090;1220;1210;997;1050;1230;1070;1060;976;963;943;936;828;665;646;621;621;615;572;621;615;591;572;572;560;560;609;584;572;560;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/12/1964;;1;1;1050;394;631,452;14;25;1;1;1;;0;572;572;566;621;621;628;698;710;684;710;815;902;923;1050;970;802;621;584;591;584;634;548;458;400;394;470;524;615;440;428;440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/01/1965;;1;1;2100;236;785,71;28;9;1;1;1;;0;464;500;279;274;279;255;284;289;236;236;294;265;284;279;350;319;294;294;309;488;855;1040;1070;1080;1530;2040;2070;2100;2100;2100;2100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/02/1965;;1;1;3030;488;1767,857;25;12;1;1;1;;0;2030;2030;2010;1980;1740;1750;1720;815;1300;1290;640;488;494;494;710;943;943;943;1970;2030;2600;2800;2800;2920;3030;3030;3030;2970;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/03/1965;;1;1;3020;1790;2447,419;1;26;1;1;1;;0;3020;2780;2590;2490;2490;2500;2490;2490;2500;2530;2570;2680;2590;2780;2490;2630;2680;2720;2700;2700;2670;2660;2660;2660;1990;1790;1790;1850;1790;1790;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/04/1965;;1;1;;;;;;0;0;0;;0;1870;1870;1830;1800;1790;;876;;;554;678;653;;;;;;;;;;;665;665;678;678;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/07/1965;;1;1;;;;;;0;0;0;;0;;;;;615;615;;;;;;;;;;;;;615;;646;646;;;;646;;691;678;678;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/08/1965;;1;1;684;500;606,806;18;28;1;1;1;;0;597;572;591;603;603;603;615;659;615;591;653;659;634;653;621;640;665;684;621;653;572;560;621;621;603;554;524;500;500;609;615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/09/1965;;1;1;;;;;;0;0;0;;0;609;615;609;584;566;591;536;646;653;634;578;524;524;603;566;591;572;560;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/10/1965;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;756;828;808;808;762;828;822;815;848;828;795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/11/1965;;1;1;1190;835;1117,467;3;1;1;1;1;;0;835;889;1190;1190;1190;1190;1180;1130;1090;1140;1160;1180;1140;1190;1190;1150;1150;1150;1160;1160;1180;1080;1050;1070;1070;1060;1070;1090;1090;1110;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/12/1965;;1;1;1160;530;796,065;2;25;1;1;1;;0;1150;1160;1100;1020;909;936;983;1040;1050;976;1030;1010;896;909;730;710;730;678;691;678;684;554;578;554;530;542;548;566;591;591;554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/01/1966;;1;1;2550;506;1498,161;19;1;1;1;1;;0;506;518;542;524;560;518;578;542;548;572;566;578;691;1020;1050;1050;1110;2130;2550;2530;2550;2550;2520;2550;2530;2530;2530;2510;2490;2490;2510;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/02/1966;;1;1;2560;795;1769,25;10;27;1;1;1;;0;2240;1960;2490;2510;2550;2450;2520;2550;2550;2560;2310;2090;2100;2110;1990;1900;1460;1070;1080;1080;1070;1080;1080;1080;1060;956;795;848;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/03/1966;;1;1;1050;691;939,29;14;9;1;1;1;;0;795;848;862;717;730;717;698;704;691;698;848;1020;1040;1050;1030;1030;1040;1040;1040;1020;1040;1040;1050;1050;1040;1050;1050;1050;1040;1040;1050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
